host,day,status,len
globe.adsb.fi,2024-01-01,200,4294782
adsb.lol,2024-01-01,200,6439307
globe.adsb.fi,2024-01-02,200,5011063
adsb.lol,2024-01-02,200,7553124
globe.adsb.fi,2024-01-03,200,5092964
adsb.lol,2024-01-03,200,7696156
globe.adsb.fi,2024-01-04,200,5147774
adsb.lol,2024-01-04,200,7702455
globe.adsb.fi,2024-01-05,200,5280000
adsb.lol,2024-01-05,200,7934792
globe.adsb.fi,2024-01-06,200,4982060
adsb.lol,2024-01-06,200,7413062
globe.adsb.fi,2024-01-07,200,4951505
adsb.lol,2024-01-07,200,7345298
globe.adsb.fi,2024-01-08,200,4998918
adsb.lol,2024-01-08,200,7442503
globe.adsb.fi,2024-01-09,200,4626772
adsb.lol,2024-01-09,200,6950652
globe.adsb.fi,2024-01-10,200,4824876
adsb.lol,2024-01-10,200,7255707
globe.adsb.fi,2024-01-11,200,4922098
adsb.lol,2024-01-11,200,7393315
globe.adsb.fi,2024-01-12,200,4871060
adsb.lol,2024-01-12,200,7218127
globe.adsb.fi,2024-01-13,200,4480753
adsb.lol,2024-01-13,200,6609513
globe.adsb.fi,2024-01-14,200,4610187
adsb.lol,2024-01-14,200,6816004
globe.adsb.fi,2024-01-15,200,4502208
adsb.lol,2024-01-15,200,6773470
globe.adsb.fi,2024-01-16,200,4062503
adsb.lol,2024-01-16,200,6030153
globe.adsb.fi,2024-01-17,200,4296393
adsb.lol,2024-01-17,200,6573191
globe.adsb.fi,2024-01-18,200,4833245
adsb.lol,2024-01-18,200,7343145
globe.adsb.fi,2024-01-19,200,4915507
adsb.lol,2024-01-19,200,7448540
globe.adsb.fi,2024-01-20,200,4804838
adsb.lol,2024-01-20,200,7253559
globe.adsb.fi,2024-01-21,200,4595444
adsb.lol,2024-01-21,200,6937913
globe.adsb.fi,2024-01-22,200,4602662
adsb.lol,2024-01-22,200,7015630
globe.adsb.fi,2024-01-23,200,4388489
adsb.lol,2024-01-23,200,6711130
globe.adsb.fi,2024-01-24,200,4526869
